"Forecasting Zone","Year","Building Type","Mid Case (M.Sq.Ft.)","Low Case (M.Sq.Ft.) ","High Case (M.Sq.Ft.)"
1,1964,"College",28.7832048889002,28.7832048889002,28.7832048889002
1,1965,"College",28.7832048889002,28.7832048889002,28.7832048889002
1,1966,"College",29.2225266330729,29.2225266330729,29.2225266330729
1,1967,"College",30.5926399423738,30.5926399423738,30.5926399423738
1,1968,"College",31.5624194898027,31.5624194898027,31.5624194898027
1,1969,"College",33.9485767942131,33.9485767942131,33.9485767942131
1,1970,"College",36.3693495910178,36.3693495910178,36.3693495910178
1,1971,"College",38.2829642762765,38.2829642762765,38.2829642762765
1,1972,"College",38.3620698323236,38.3620698323236,38.3620698323236
1,1973,"College",38.6652480475084,38.6652480475084,38.6652480475084
1,1974,"College",39.2501193963647,39.2501193963647,39.2501193963647
1,1975,"College",39.8150113431879,39.8150113431879,39.8150113431879
1,1976,"College",40.4247676702144,40.4247676702144,40.4247676702144
1,1977,"College",41.2917734803217,41.2917734803217,41.2917734803217
1,1978,"College",41.6942284547004,41.6942284547004,41.6942284547004
1,1979,"College",42.0740951101046,42.0740951101046,42.0740951101046
1,1980,"College",42.2567055428626,42.2567055428626,42.2567055428626
1,1981,"College",42.4801492918372,42.4801492918372,42.4801492918372
1,1982,"College",42.5633525292525,42.5633525292525,42.5633525292525
1,1983,"College",42.711307220522,42.711307220522,42.711307220522
1,1984,"College",42.9014023014238,42.9014023014238,42.9014023014238
1,1985,"College",43.0762187646087,43.0762187646087,43.0762187646087
1,1986,"College",43.1966245134453,43.1966245134453,43.1966245134453
1,1987,"College",43.3852734902559,43.3852734902559,43.3852734902559
1,1988,"College",43.6867856148137,43.6867856148137,43.6867856148137
1,1989,"College",44.4841005120561,44.4841005120561,44.4841005120561
1,1990,"College",44.6494460986418,44.6494460986418,44.6494460986418
1,1991,"College",44.7632870500355,44.7632870500355,44.7632870500355
1,1992,"College",44.9290957287503,44.9290957287503,44.9290957287503
1,1993,"College",45.2723859157687,45.2723859157687,45.2723859157687
1,1994,"College",45.6792881848951,45.6792881848951,45.6792881848951
1,1995,"College",46.2709917224824,46.2709917224824,46.2709917224824
1,1996,"College",46.5738654083534,46.5738654083534,46.5738654083534
1,1997,"College",46.695910885218,46.695910885218,46.695910885218
1,1998,"College",47.0015798105404,47.0015798105404,47.0015798105404
1,1999,"College",47.3514437100645,47.3514437100645,47.3514437100645
1,2000,"College",47.5434371047138,47.5434371047138,47.5434371047138
1,2001,"College",47.7391853375546,47.7391853375546,47.7391853375546
1,2002,"College",47.892284599673,47.892284599673,47.892284599673
1,2003,"College",48.6394351742675,48.6394351742675,48.6394351742675
1,2004,"College",48.9242733857308,48.9242733857308,48.9242733857308
1,2005,"College",49.0554342847622,49.0554342847622,49.0554342847622
1,2006,"College",49.8196204658089,49.8196204658089,49.8196204658089
1,2007,"College",50.5383397162281,50.5383397162281,50.5383397162281
1,2008,"College",50.9559114628397,50.9559114628397,50.9559114628397
1,2009,"College",51.3864196873971,51.3864196873971,51.3864196873971
1,2010,"College",52.1146215187766,52.1146215187766,52.1146215187766
1,2011,"College",52.7455758058162,52.7455758058162,52.7455758058162
1,2012,"College",53.0856743817514,53.0856743817514,53.0856743817514
1,2013,"College",53.4082089477026,53.4082089477026,53.4082089477026
1,2014,"College",53.4389988266741,53.4389988266741,53.4389988266741
1,2015,"College",53.8496757954198,53.8496757954198,53.8496757954198
1,2016,"College",53.9789027882017,53.9789027882017,53.9789027882017
1,2017,"College",54.3185684596323,54.3185684596323,54.3185684596323
1,2018,"College",54.8127797640976,54.8127797640976,54.8127797640976
1,2019,"College",55.0770673815612,55.0770673815612,55.0770673815612
1,2020,"College",55.870418282693,55.870418282693,55.870418282693
1,2021,"College",56.4997645073814,56.4997645073814,56.4997645073814
1,2022,"College",56.7601788042763,56.7329759212765,56.7850632737962
1,2023,"College",57.2015124427239,57.0888832093224,57.2902207738929
1,2024,"College",57.6456567962296,57.4856027150879,57.7442395310817
1,2025,"College",58.0728003992754,57.8883380353185,58.1812972077695
1,2026,"College",58.5053366637138,58.3031154766192,58.6245355987722
1,2027,"College",58.9243302665874,58.70083312303,59.0566809623757
1,2028,"College",59.3432191387914,59.0984553587571,59.4900114485123
1,2029,"College",59.7553767048902,59.4922338057631,59.9180126088102
1,2030,"College",60.1580899749116,59.8785262312284,60.3377744716569
1,2031,"College",60.5582480043804,60.260863508343,60.7526247239791
1,2032,"College",60.9563760409583,60.6381667091394,61.1638788121312
1,2033,"College",61.3743997554376,61.0356274907205,61.5976926423242
1,2034,"College",61.8006814187265,61.4404443319536,62.042379471471
1,2035,"College",62.2295402608782,61.8471036620761,62.4921937566104
1,2036,"College",62.6427891399099,62.2362844955831,62.9285122093428
1,2037,"College",63.0584316583648,62.6257274383354,63.3689293891892
1,2038,"College",63.4755747407546,63.014603556627,63.8108416970411
1,2039,"College",63.8955774758954,63.4045426059495,64.2572351593485
1,2040,"College",64.3196751138518,63.7973402292858,64.7093881126664
1,2041,"College",64.7548840143186,64.1993141107572,65.1749632476005
1,2042,"College",65.2066432886594,64.6145983955384,65.6594448315808
1,2043,"College",65.6817764420081,65.0512326742328,66.1669773916088
1,2044,"College",66.1759405092694,65.5047171467043,66.694774454383
1,2045,"College",66.6882748645236,65.9723904400594,67.2425048644491
1,2046,"College",67.2170871251043,66.4536352784567,67.8075569588141
1,2047,"College",67.7552357174003,66.9427197448089,68.3848546434589
1,2048,"College",68.3072551918837,67.4438309706831,68.9758633126454
1,2049,"College",68.8661511109271,67.9503469057659,69.5775959667547
1,2050,"College",69.4402795935641,68.46994388163,70.1994380356805
1,1964,"Grocery Stores",17.7607261386533,17.7607261386533,17.7607261386533
1,1965,"Grocery Stores",17.8361595349403,17.8361595349403,17.8361595349403
1,1966,"Grocery Stores",18.723805220431,18.723805220431,18.723805220431
1,1967,"Grocery Stores",19.6691037507859,19.6691037507859,19.6691037507859
1,1968,"Grocery Stores",20.5331508716545,20.5331508716545,20.5331508716545
1,1969,"Grocery Stores",21.6413736346997,21.6413736346997,21.6413736346997
1,1970,"Grocery Stores",22.253659739222,22.253659739222,22.253659739222
1,1971,"Grocery Stores",22.9084757614154,22.9084757614154,22.9084757614154
1,1972,"Grocery Stores",23.7309449163307,23.7309449163307,23.7309449163307
1,1973,"Grocery Stores",24.5183162951221,24.5183162951221,24.5183162951221
1,1974,"Grocery Stores",25.0475271530621,25.0475271530621,25.0475271530621
1,1975,"Grocery Stores",25.6764574317325,25.6764574317325,25.6764574317325
1,1976,"Grocery Stores",26.0079898470781,26.0079898470781,26.0079898470781
1,1977,"Grocery Stores",26.6880750468873,26.6880750468873,26.6880750468873
1,1978,"Grocery Stores",27.2475087388188,27.2475087388188,27.2475087388188
1,1979,"Grocery Stores",27.8243749420533,27.8243749420533,27.8243749420533
1,1980,"Grocery Stores",28.6001073191551,28.6001073191551,28.6001073191551
1,1981,"Grocery Stores",29.3139079842197,29.3139079842197,29.3139079842197
1,1982,"Grocery Stores",29.7942717920536,29.7942717920536,29.7942717920536
1,1983,"Grocery Stores",30.1282017417011,30.1282017417011,30.1282017417011
1,1984,"Grocery Stores",30.4022365014616,30.4022365014616,30.4022365014616
1,1985,"Grocery Stores",30.8013477988147,30.8013477988147,30.8013477988147
1,1986,"Grocery Stores",31.2402178897778,31.2402178897778,31.2402178897778
1,1987,"Grocery Stores",31.8766105686049,31.8766105686049,31.8766105686049
1,1988,"Grocery Stores",32.5590611138006,32.5590611138006,32.5590611138006
1,1989,"Grocery Stores",33.3001306443746,33.3001306443746,33.3001306443746
