"years.list","small.office","restaurant","retail","grocery","warehouse","refrig.warehouse","school","college","hospital","hotel","misc","large.office","parking"
1970,4.95420670073223,2.35468727049544,6.15730958089432,2.1856293655909,1.6410238819013,0.0861980984241909,5.75391253517113,3.47077730093513,2.75354875573948,1.05407894543874,6.86892947584139,3.74728374870987,0.518869885258045
1971,4.94288533693977,2.35610585570265,6.17244878380419,2.1910318223345,1.66674199535365,0.0875528511188856,5.78347991480987,3.67687371574821,2.82904018939108,1.11010695920527,6.945381769992,3.73494607697056,0.516275535831755
1972,4.99177529889844,2.36474592302537,6.2179625962792,2.20721761751289,1.70622631931618,0.0896321361701873,5.98258063484281,3.76399774481857,2.98217140611667,1.19118393549698,7.13454149068976,3.7226490261594,0.513694158152596
1973,5.04720618504283,2.38936729848781,6.4363766602658,2.28478582068121,1.73068403381028,0.0909205420189274,6.20354784623422,3.9504907932522,2.98301961055997,1.42892645675887,7.3287664532821,3.73621355081756,0.511568046876032
1974,5.17241930318097,2.40496515598654,6.6698574349555,2.36770279498745,1.77744084584371,0.0933825795788371,6.37045974498073,3.98955225185644,2.99635898920848,1.62394148995896,7.43369909287749,3.74722103126956,0.509012359519851
1975,5.31725243538556,2.43672866585318,6.7286632102658,2.38860695143944,1.79517990456141,0.0943173619813329,6.59051608498814,4.01603825889617,3.09332339469916,1.64903257125756,7.60665477297737,3.76594806840517,0.515260688426195
1976,5.36209162833466,2.43968662115378,6.78577426997599,2.40890928432949,1.92017406700405,0.100897144878595,6.91203751748882,4.19645093044410,3.11333442808656,1.82122075536294,7.91935354659864,3.85177022093619,0.515426619848086
1977,5.40489046456209,2.45789475524196,7.03776925388415,2.49839861260921,1.92679662358606,0.101246838310831,6.94364938659861,4.26541953517935,3.14683425029368,1.82163393605767,8.00120353669712,3.87032180310803,0.513906367270103
1978,5.52658878893349,2.48032683183603,7.42069176588103,2.63436930995312,1.99702131944332,0.104944007829844,7.22589727346838,4.28416671171016,3.26325634006764,1.81985162809524,8.1921307736929,3.85823787260238,0.511399327123305
1979,5.64409828250263,2.48986030258199,7.71127947859749,2.73755938827706,2.01805123878068,0.106051973675213,7.29864924095422,4.30537899825976,3.26580111787308,1.88844704626293,8.3451808448485,3.84619052444018,0.522308578190341
1980,5.81241572208762,2.49365155559564,8.0762041442436,2.86714020400849,2.06521468617455,0.108535383474431,7.36433124249491,4.32190614489966,3.36096658047491,1.93422688437041,8.53199678747614,3.93960220453363,0.558185929708884
1981,5.87815201564863,2.49420291688696,8.3098686480711,2.95012122516340,2.20397811922281,0.115839840277112,7.40233404057888,4.33063350351858,3.37327342594055,1.94586960357744,8.78379061532572,3.92761478479262,0.556718758616539
1982,5.959,2.5,8.67,3.078,2.264,0.119,7.445,4.398,3.44,1.969,8.946,3.977,0.559
1983,5.97746601036985,2.50400815915957,8.6791276948352,3.08126623922706,2.28133327520984,0.119913386171839,7.51998517763097,4.41525364948139,3.48068119854483,2.15164731345124,9.12135661131338,3.96507241118048,0.622658558723226
1984,6.04048999073084,2.52707474816275,8.76062138986622,3.11022349670199,2.34506707957175,0.123268900637927,7.63038316420873,4.42093255632364,3.51141500805697,2.188177938168,9.22073348546526,3.95317619826979,0.620203249364389
1985,6.09477332228777,2.54984954780348,9.13856776279506,3.24442642072291,2.46801146322813,0.129740756581553,7.8051155947573,4.43967814924674,3.54916987297844,2.50807024392684,9.35479812579691,3.9413103798692,0.617756807962739
1986,6.19621070819617,2.61215813937531,9.3957170524193,3.33574412798739,2.67408030250551,0.140587579090371,7.87639337638723,4.48567730393569,3.6258830066013,2.62189213281524,9.5959235124166,3.95810736889837,0.621312768603009
1987,6.25195437948877,2.62395729707888,9.55059085865226,3.3907521076827,2.86239626760217,0.150500035034699,7.92062664604202,4.54104810666317,3.7431885063878,2.63998063905035,9.94670086881434,4.24729888770884,0.622685041048013
1988,6.42549939876517,2.62515961350756,10.5143847077567,3.73294053703246,3.0411779549183,0.159910682137523,8.02536747582426,4.58618155874136,3.814350569777,2.69263095725779,10.1987582753835,4.23548023311255,0.62155528296603
1989,6.4935242579816,2.63088521073268,10.6968069513808,3.79772836794395,3.18138337181807,0.167290994488297,8.25160817954361,4.57984686966994,3.87907513181128,2.95600084484831,10.3525315713263,4.58917922521568,0.619136958393065
1990,6.57811223925859,2.63258357053985,10.9981401782089,3.90473149598883,3.32864392851699,0.178738944611106,8.39610085807863,4.76320840047469,3.95357273357866,2.98356228393657,10.7168455923119,4.6020452159772,0.644707263574966
1991,6.70483057295137,2.63106960821848,11.1092742551531,3.94421047675672,3.44448550730394,0.184836527778163,8.49687304704968,4.83051617486482,4.02513357791506,3.05513335570659,10.8943120930434,4.6809856143225,0.642348648964173
1992,6.79828331814494,2.63945894223238,11.1587335515314,3.96179368571937,3.53635755032287,0.196066139027363,8.54853962789124,4.89110709991908,4.02661674117642,3.42481767907771,11.0605454207392,4.71680549040206,0.648798949603104
1993,6.93467918249322,2.64501913887941,11.3008446802793,4.01226974123503,3.57364659814197,0.198033553118007,8.6134548578743,4.91064948762615,4.04444855643390,3.47748668670932,11.1602535296808,4.80015893845057,0.664725279347087
1994,7.10360965493342,2.65505453514657,11.7482709925595,4.17113781301561,3.76294150587632,0.207996138472578,8.7750584354496,4.95469453345611,4.16113097040967,3.49581837416149,11.2336926203008,4.82829807464093,0.675395643367244
1995,7.20604233961098,2.67497280860089,11.9454659503566,4.24116926928301,3.90892908471412,0.215679233833568,8.96475428167767,4.97907036191214,4.22193104581667,3.49878214762613,11.5225300926948,4.8519321274110,0.686880804316455
1996,7.27342587297912,2.68703854000830,11.9951223987261,4.25882184747076,4.00821539269825,0.220905492419746,8.9691191688523,5.13474288409736,4.33682648586237,3.520776652815,12.2803315356109,4.84008710987116,0.69606284048016
1997,7.38025616061457,2.69818562043803,12.0052918002572,4.26245568694331,4.10891949095638,0.226204879992247,9.05921802491246,5.15719591268503,4.439469244705,3.54995256889886,12.4601899981652,4.8282258337366,0.697697139748932
1998,7.53022742206674,2.69595078670557,12.0251547819813,4.26953076191236,4.2095078807176,0.231497963993689,9.1299940375,5.15903151964753,4.49105350713251,3.62725883658712,12.5789419411384,4.81634229748242,0.73084412206284
1999,7.6199492049066,2.70357835358943,12.1322880769096,4.3075881554914,4.36236576119953,0.239541836925995,9.2057600573168,5.19369074584679,4.53992451994710,3.71501310592122,12.7030102392503,4.83811632981461,0.738457827535615
2000,7.65281960425336,2.71687992925465,12.2162486662537,4.33741868596512,4.50288346498072,0.24693596416683,9.2592491480312,5.1866207324615,4.60830612612651,3.72705259972630,12.7861089152287,4.91442605441966,0.735991824214763
2001,7.75657719581266,2.71690845963464,12.4167336596201,4.40861724487899,4.60928008110319,0.252533953329645,9.3045852502781,5.17942536535251,4.74037085190769,3.7964905249869,13.1295170682420,4.93372274869062,0.796005676019166
2002,7.84337755643106,2.71454608939555,12.4851717570696,4.43293672094030,4.68318946750473,0.256421765138852,9.40574311237334,5.18299535186818,5.07298878996518,4.09969721055135,13.3716786310122,5.58312770195676,0.879631684195783
2003,7.94607779001535,2.71214382625032,12.6437949059307,4.48927330101805,4.96744283216286,0.271379954206024,9.56863523493762,5.2174805048834,5.15151917209523,4.31287091220812,13.5702861248942,5.60026695553158,0.995718301684788
2004,8.01352636206275,2.71001814559064,12.8177610187896,4.55105674995553,5.20717906113067,0.283994738555916,9.90392208859357,5.23524526730096,5.24272268702634,4.34094262680251,13.7049928041303,5.58797511545627,1.03737714496200
2005,8.08734200393266,2.72577319012593,12.9621975801030,4.60235654911162,5.50486815628499,0.314044908043212,9.9679855977142,5.27461226155278,5.31344503346918,4.4649818158392,14.0203845357547,5.66319415287447,1.04112221566806
2006,8.14113903186036,2.73422966088204,13.0294463570740,4.62625320202132,5.59262554331373,0.318658270490151,10.4525649691379,5.4820830045457,5.3792205249028,4.64779352705907,14.1778680535255,5.67465417487882,1.04784009935870
2007,8.31393853643408,2.75461019702911,13.3312717003964,4.73342844773969,5.7589291680508,0.327404923357551,10.5091367723622,5.52881621834438,5.4284692236067,4.76483834870839,14.3276268543954,5.73932506298623,1.05125878321509
2008,8.5083354844933,2.75941767859251,13.5229064092119,4.80148396584022,5.86090010466715,0.337360268117038,10.6672733163773,5.64104135094552,5.45827217178701,4.83851892266897,14.4101581988865,5.81094145932415,1.15791973244260
2009,8.57437450104739,2.75666004461414,13.5225294695511,4.80137188148105,6.57910298877172,0.37515204753359,10.6690197422186,5.70608995433894,5.74310935771832,4.96968037317382,14.7326501424817,5.92104254986337,1.96405805940140
2010,8.59105866284054,2.75576504608862,13.5088149704972,4.79652458823661,6.61098631988117,0.37682070187052,10.7775429142279,5.86919396039001,5.99718815418904,4.96132462666726,14.7850990212162,5.90786278344453,1.96095681618371
